# Constructed from biom file
OTU ID	sample_006A	sample_006B	sample_006C	sample_006X	sample_007A	sample_007B	sample_007C	sample_007X	sample_031A	sample_031B	sample_031C	sample_031X	sample_044A	sample_044B	sample_044C	sample_044X	sample_049A	sample_049B	sample_049C	sample_049X	sample_055A	sample_055B	sample_055C	sample_055X	sample_069A	sample_069B	sample_069C	sample_069X	sample_106A	sample_106B	sample_106C	sample_106X	sample_110A	sample_110B	sample_110C	sample_110X	sample_116A	sample_116B	sample_116C	sample_116X
053238bc726f81e3526cabcae8fb75e1	0.0	0.0	156.0	5.0	0.0	0.0	116.0	16.0	7.0	5.0	0.0	2857.0	5.0	0.0	0.0	16.0	5.0	4.0	226.0	0.0	1320.0	90.0	0.0	0.0	0.0	28.0	0.0	5775.0	28.0	15.0	0.0	3456.0	98.0	210.0	42.0	1.0	216.0	16.0	371.0	13.0
e1068372a6c1622c746542c2348c4a01	1.0	0.0	14730.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ea202e6b6ff2d86119868d8930acbd6b	0.0	14655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95a8ed115bdcc5be408d02f1b8862086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13039.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a75b469d0fc7c94344ac60645751b3b8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c18835c73b49daa3508da0890a0368f3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12140.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f687eefd419d1953dcecd5669723503	0.0	0.0	11682.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14f3040d7ed7c68752800ab026cf7e5b	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	5198.0	3832.0	1834.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0
08a9dfb5c5f91ed33d2bf3e272b1c33f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
261dc06c6fe6cb17d8c39e3217c03139	0.0	0.0	10837.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56fc527c805e08faf34c80d71cdfd9e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	10055.0	0.0	591.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b431cfd01987d5eada969e9bd9d86123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	8.0	10353.0
fa53fde71751a38898dfadb8dd7d58de	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8567.0	1479.0	92.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
197faed8e2c9c7fc755bc5772cc132d9	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	5196.0	2181.0	880.0	0.0	444.0	73.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	511.0	0.0	0.0	61.0
f1dd3a46e508b0b4a43966b97e621f70	0.0	0.0	9024.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	4.0
5144188a69a35f9b670b6a60f366311c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	58.0	0.0	408.0	257.0	0.0	0.0	137.0	8142.0	45.0
222b8204c25d4cd3d4681614d3baf37c	3435.0	5247.0	5.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	23.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0
031d8252c50a1997d562bca9833db9e6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5857.0	2465.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b6c805f6acf6695968dd18010448935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4329.0	0.0	0.0	0.0	2221.0	1024.0	0.0
e6ce9342cb9db35b1f0a6620ad0951cd	0.0	7078.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d1688a8ff31943b7c9347eaf1446d00	0.0	0.0	67.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365.0	0.0	28.0	0.0	1304.0	158.0	198.0	0.0	0.0	4838.0	27.0
0793b2f4607f079bdc0b705c41d91f10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1147.0	5478.0	59.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
05c2dac7a9951c85e9c4b84bee891cb7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4473.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	651.0	10.0	2.0	10.0	0.0	107.0	0.0	866.0	0.0	0.0	0.0	0.0
dc535ac487466d2522f9968340f1bef4	0.0	0.0	263.0	0.0	0.0	0.0	0.0	59.0	396.0	0.0	94.0	0.0	1557.0	653.0	1243.0	55.0	396.0	335.0	782.0	43.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	33.0	40.0	0.0	0.0	81.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0
2897b59819c1255c3239a3f32a683167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6126.0	0.0
692dbb9c60390298495990b5200e395f	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6079.0	27.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8a868339b0a142382e09c5e8689ba62a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce4f247e82ceb315e9b80e77daa9a164	0.0	0.0	35.0	288.0	0.0	0.0	0.0	0.0	2281.0	1252.0	516.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	714.0	0.0	20.0	96.0	0.0	0.0	419.0	177.0	0.0	0.0	0.0	15.0
