# Constructed from biom file
OTU ID	sample_006A	sample_006B	sample_006C	sample_006X	sample_007A	sample_007B	sample_007C	sample_007X	sample_031A	sample_031B	sample_031C	sample_031X	sample_044A	sample_044B	sample_044C	sample_044X	sample_049A	sample_049B	sample_049C	sample_049X	sample_055A	sample_055B	sample_055C	sample_055X	sample_069A	sample_069B	sample_069C	sample_069X	sample_106A	sample_106B	sample_106C	sample_106X	sample_110A	sample_110B	sample_110C	sample_110X	sample_116A	sample_116B	sample_116C	sample_116X
74a3159a9b92820231ca3a3c391738da	9.0	62.0	99.0	113.0	0.0	103.0	26.0	16.0	75.0	9.0	21.0	2.0	1232.0	1489.0	845.0	54.0	169.0	485.0	1048.0	155.0	150.0	85.0	44.0	85.0	4.0	9.0	7.0	7.0	604.0	14.0	15.0	269.0	322.0	0.0	15.0	37.0	276.0	25.0	73.0	39.0
15543dd11b26f2acac9ed96605835b6c	0.0	0.0	0.0	0.0	435.0	0.0	6914.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	3.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0
6cb08e20ccad96d841358d45d4df3087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	7050.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775ebeebe3f638f398a29bace2955e75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6976.0	0.0	376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d39977bc906ccceb5968cb09724db4f6	0.0	0.0	0.0	0.0	709.0	6436.0	26.0	2.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
aa7f0e2286e63abe5d0858e588e50975	292.0	124.0	254.0	324.0	12.0	0.0	638.0	178.0	200.0	39.0	70.0	112.0	0.0	0.0	7.0	230.0	0.0	0.0	108.0	198.0	73.0	108.0	113.0	99.0	22.0	87.0	83.0	16.0	547.0	201.0	375.0	165.0	271.0	202.0	223.0	194.0	87.0	299.0	344.0	349.0
ede4c69f51605730ba2400d9fc239312	0.0	18.0	47.0	24.0	7.0	392.0	143.0	57.0	0.0	0.0	0.0	4.0	0.0	0.0	197.0	82.0	2.0	27.0	208.0	351.0	0.0	0.0	3.0	27.0	0.0	9.0	9.0	0.0	548.0	2761.0	158.0	63.0	9.0	4.0	0.0	78.0	30.0	25.0	8.0	86.0
01bedac9ff4478399d01f493e181f177	24.0	184.0	575.0	94.0	10.0	5.0	253.0	138.0	41.0	7.0	4.0	112.0	0.0	0.0	0.0	146.0	6.0	17.0	166.0	143.0	43.0	15.0	22.0	39.0	10.0	26.0	32.0	31.0	382.0	936.0	91.0	105.0	246.0	114.0	130.0	97.0	0.0	248.0	183.0	186.0
a7d6b37b2403130768cf34e72af43b63	127.0	17.0	14.0	372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	664.0	720.0	2380.0	205.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	58.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	114.0	31.0	0.0	0.0	25.0
7e47b54b6797b0d393cf20c960fd7496	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	71.0	71.0	14.0	0.0	5.0	2.0	25.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	31.0	0.0	2.0	1.0	0.0	4.0	4203.0	218.0	12.0	0.0	0.0	0.0	7.0	9.0	5.0	0.0	0.0
